st,statefip,year,adopt_year,unins
HI,15,2021,2014,0.05024083
ID,16,2008,2020,0.233708156
ID,16,2009,2020,0.243729567
ID,16,2010,2020,0.260498662
ID,16,2011,2020,0.232729501
ID,16,2012,2020,0.248047364
ID,16,2013,2020,0.245682741
ID,16,2014,2020,0.208944584
ID,16,2015,2020,0.176497999
ID,16,2016,2020,0.162842009
ID,16,2017,2020,0.17128982
ID,16,2018,2020,0.170372905
ID,16,2019,2020,0.165868232
ID,16,2020,2020,0.14011772
ID,16,2021,2020,0.122430888
IL,17,2008,2014,0.18149947
IL,17,2009,2014,0.198373447
IL,17,2010,2014,0.211521355
IL,17,2011,2014,0.198465279
IL,17,2012,2014,0.20081211
IL,17,2013,2014,0.191774485
IL,17,2014,2014,0.149385761
IL,17,2015,2014,0.10904166
IL,17,2016,2014,0.099424472
IL,17,2017,2014,0.103396563
IL,17,2018,2014,0.106639356
IL,17,2019,2014,0.108011728
IL,17,2020,2014,0.108429389
IL,17,2021,2014,0.10608915
IN,18,2008,2015,0.185658797
IN,18,2009,2015,0.198622744
IN,18,2010,2015,0.218957198
IN,18,2011,2015,0.214763792
IN,18,2012,2015,0.216338821
IN,18,2013,2015,0.207983059
IN,18,2014,2015,0.181210682
IN,18,2015,2015,0.142991369
IN,18,2016,2015,0.118211937
IN,18,2017,2015,0.120928906
IN,18,2018,2015,0.119732843
IN,18,2019,2015,0.123987993
IN,18,2020,2015,0.107226036
IN,18,2021,2015,0.105820322
IA,19,2008,2014,0.123084682
IA,19,2009,2014,0.129202737
IA,19,2010,2014,0.145306817
IA,19,2011,2014,0.136105627
IA,19,2012,2014,0.128298075
IA,19,2013,2014,0.133625935
IA,19,2014,2014,0.088861136
IA,19,2015,2014,0.072623314
IA,19,2016,2014,0.063531078
IA,19,2017,2014,0.065351566
IA,19,2018,2014,0.074746002
IA,19,2019,2014,0.074358515
IA,19,2020,2014,0.078331495
IA,19,2021,2014,0.075772419
KS,20,2008,,0.167637316
KS,20,2009,,0.183011519
KS,20,2010,,0.204233344
KS,20,2011,,0.192758691
KS,20,2012,,0.188746317
KS,20,2013,,0.186919471
KS,20,2014,,0.160582216
KS,20,2015,,0.141915441
KS,20,2016,,0.128022817
KS,20,2017,,0.127967814
KS,20,2018,,0.132306141
KS,20,2019,,0.139614191
KS,20,2020,,0.140637544
KS,20,2021,,0.139451336
KY,21,2008,2014,0.197824244
KY,21,2009,2014,0.222517236
KY,21,2010,2014,0.236875484
KY,21,2011,2014,0.224663824
KY,21,2012,2014,0.21142836
KY,21,2013,2014,0.226238081
KY,21,2014,2014,0.138043561
KY,21,2015,2014,0.093623299
KY,21,2016,2014,0.080949067
KY,21,2017,2014,0.082894573
KY,21,2018,2014,0.087439772
KY,21,2019,2014,0.099722282
KY,21,2020,2014,0.087821409
KY,21,2021,2014,0.085823384
LA,22,2008,2016,0.261257081
LA,22,2009,2016,0.264399112
LA,22,2010,2016,0.279446366
LA,22,2011,2016,0.279005918
LA,22,2012,2016,0.267157512
LA,22,2013,2016,0.265683309
LA,22,2014,2016,0.235721392
LA,22,2015,2016,0.202562077
LA,22,2016,2016,0.174474786
LA,22,2017,2016,0.140715488
LA,22,2018,2016,0.131968869
LA,22,2019,2016,0.144728201
LA,22,2020,2016,0.135882377
LA,22,2021,2016,0.124212698
ME,23,2008,2019,0.14754958
ME,23,2009,2019,0.142223375
ME,23,2010,2019,0.162721224
ME,23,2011,2019,0.163211948
ME,23,2012,2019,0.159023788
ME,23,2013,2019,0.169236822
ME,23,2014,2019,0.144700583
ME,23,2015,2019,0.126346965
ME,23,2016,2019,0.121482014
ME,23,2017,2019,0.12297831
ME,23,2018,2019,0.119474486
ME,23,2019,2019,0.123289061
ME,23,2020,2019,0.113729908
ME,23,2021,2019,0.08497625
MD,24,2008,2014,0.157524712
MD,24,2009,2014,0.164835122
MD,24,2010,2014,0.167198616
MD,24,2011,2014,0.149760161
MD,24,2012,2014,0.151826956
MD,24,2013,2014,0.147431537
MD,24,2014,2014,0.118265113
MD,24,2015,2014,0.095896016
MD,24,2016,2014,0.089805749
MD,24,2017,2014,0.08989897
